,g2acck,g2acck_conv,g2avrtk,g2avrtk_conv,g2sdrtk,g2sdrtk_conv,wmacck,wmacck_conv,wmrtk,wmrtk_conv,wmsdk,wmsdk_conv
74,97.619048,0.97619048,276.674603,0.276674603,62.308116,0.003882301,25.396825,0.25396825,378.666667,0.378666667,138.316063,0.019131333
75,95.833333,0.95833333,255.427419,0.255427419,83.087492,0.006903531,96.825397,0.96825397,498.333333,0.498333333,149.169418,0.022251515
76,94.642857,0.94642857,241.16129,0.24116129,100.997335,0.010200462,100,1,427.5,0.4275,108.889018,0.011856818
77,,0,,0,,0,,0,,0,,0
78,91.071429,0.91071429,199.403226,0.199403226,115.753447,0.01339886,92.063492,0.92063492,673.625,0.673625,280.574888,0.078722268
79,98.809524,0.98809524,286.174603,0.286174603,82.382433,0.006786865,98.412698,0.98412698,545.454545,0.545454545,131.784949,0.017367273
80,,0,,0,,0,,0,,0,,0
81,94.642857,0.94642857,255.403226,0.255403226,64.10293,0.004109186,100,1,550.666667,0.550666667,82.206318,0.006757879
82,95.238095,0.95238095,282.420635,0.282420635,99.417773,0.009883894,98.412698,0.98412698,581.666667,0.581666667,140.637079,0.019778788
83,84.52381,0.8452381,298.577982,0.298577982,204.610393,0.041865413,98.412698,0.98412698,620.909091,0.620909091,110.132152,0.012129091
84,97.02381,0.9702381,311.707317,0.311707317,118.042138,0.013933946,36.507937,0.36507937,680.909091,0.680909091,639.17845,0.408549091
85,96.428571,0.96428571,278.624,0.278624,97.447477,0.009496011,96.825397,0.96825397,585.833333,0.585833333,117.66349,0.013844697
86,,0,,0,,0,,0,,0,,0
87,97.02381,0.9702381,292.168,0.292168,62.511642,0.003907705,100,1,434.416667,0.434416667,102.411344,0.010488083
88,,0,,0,,0,,0,,0,,0
89,98.214286,0.98214286,279.920635,0.279920635,63.642703,0.004050394,95.238095,0.95238095,410,0.41,95.726884,0.009163636
90,94.642857,0.94642857,286.260504,0.286260504,91.047619,0.008289669,65.079365,0.65079365,613.333333,0.613333333,347.42865,0.120706667
91,95.238095,0.95238095,197.893443,0.197893443,163.853281,0.026847898,100,1,376.666667,0.376666667,57.101717,0.003260606
92,99.404762,0.99404762,322.460317,0.322460317,81.099312,0.006577098,98.412698,0.98412698,413.333333,0.413333333,130.963793,0.017151515
93,95.833333,0.95833333,346.459677,0.346459677,136.406459,0.018606722,92.063492,0.92063492,670,0.67,203.162497,0.041275
94,98.809524,0.98809524,359.650794,0.359650794,94.540939,0.008937989,100,1,610.833333,0.610833333,162.114344,0.026281061
95,,0,,0,,0,,0,,0,,0
96,98.214286,0.98214286,248.333333,0.248333333,63.22974,0.003998,95.238095,0.95238095,434.545455,0.434545455,82.019953,0.006727273
97,96.428571,0.96428571,271.824,0.271824,104.650961,0.010951824,95.238095,0.95238095,478,0.478,201.262681,0.040506667
98,98.214286,0.98214286,288.357143,0.288357143,86.951891,0.007560631,95.238095,0.95238095,447.25,0.44725,316.988995,0.100482023
99,,0,,0,,0,,0,,0,,0
100,98.214286,0.98214286,443.44,0.44344,211.694789,0.044814684,25.396825,0.25396825,599.166667,0.599166667,129.576817,0.016790152
101,95.238095,0.95238095,271.6,0.2716,55.451228,0.003074839,68.253968,0.68253968,457.5,0.4575,161.139409,0.025965909
102,,0,,0,,0,,0,,0,,0
103,,0,,0,,0,,0,,0,,0
104,97.619048,0.97619048,259.206349,0.259206349,50.684959,0.002568965,100,1,346.666667,0.346666667,46.774767,0.002187879
105,95.238095,0.95238095,286.459677,0.286459677,175.873356,0.030931437,98.412698,0.98412698,756.75,0.75675,679.338866,0.461501295
106,98.809524,0.98809524,290.103175,0.290103175,70.440764,0.004961901,100,1,462.666667,0.462666667,99.885692,0.009977151
107,,0,,0,,0,,0,,0,,0
108,,0,,0,,0,,0,,0,,0
109,,0,,0,,0,,0,,0,,0
110,,0,,0,,0,,0,,0,,0
111,97.619048,0.97619048,284.555556,0.284555556,49.579602,0.002458137,95.238095,0.95238095,529.363636,0.529363636,260.397109,0.067806654
112,95.238095,0.95238095,290.784,0.290784,103.989964,0.010813913,96.825397,0.96825397,521.666667,0.521666667,190.589198,0.036324242
113,98.214286,0.98214286,305.672,0.305672,96.535116,0.009319029,66.666667,0.66666667,1000,1,489.557623,0.239666666
114,98.809524,0.98809524,295.15873,0.29515873,59.603545,0.003552583,80.952381,0.80952381,395,0.395,75.399886,0.005685143
115,35.119048,0.35119048,316.166667,0.316166667,61.045065,0.0037265,98.412698,0.98412698,468.75,0.46875,74.81143,0.00559675
116,98.809524,0.98809524,332.301587,0.332301587,85.657389,0.007337188,100,1,581.916667,0.581916667,93.786468,0.008795902
117,,0,,0,,0,,0,,0,,0
118,98.214286,0.98214286,292.206349,0.292206349,61.537672,0.003786885,100,1,484.166667,0.484166667,76.813627,0.005900333
119,,0,,0,,0,,0,,0,,0
120,86.904762,0.86904762,247.754237,0.247754237,213.594149,0.04562246,74.603175,0.74603175,723.090909,0.723090909,525.627521,0.276284291
121,96.428571,0.96428571,288.096,0.288096,113.233588,0.012821845,100,1,435.583333,0.435583333,65.163373,0.004246265
122,,0,,0,,0,,0,,0,,0
123,94.047619,0.94047619,283.081301,0.283081301,148.795304,0.022140042,69.84127,0.6984127,648.375,0.648375,116.314767,0.013529125
124,99.404762,0.99404762,306.103175,0.306103175,81.519453,0.006645421,98.412698,0.98412698,677.416667,0.677416667,190.016965,0.036106447
125,,0,,0,,0,,0,,0,,0
126,,0,,0,,0,,0,,0,,0
127,97.619048,0.97619048,272.047619,0.272047619,104.12937,0.010842926,98.412698,0.98412698,551.75,0.55175,83.25877,0.006932023
128,97.02381,0.9702381,246.427419,0.246427419,78.162555,0.006109385,98.412698,0.98412698,562.833333,0.562833333,101.95082,0.01039397
129,,0,,0,,0,,0,,0,,0
130,99.404762,0.99404762,380.464,0.380464,110.284642,0.012162702,87.301587,0.87301587,588.222222,0.588222222,190.857131,0.036426444
131,99.404762,0.99404762,311.81746,0.31181746,51.677523,0.002670566,98.412698,0.98412698,387.916667,0.387916667,88.369532,0.007809174
132,90.47619,0.9047619,265.822034,0.265822034,241.489312,0.058317088,98.412698,0.98412698,454,0.454,111.385816,0.0124068
133,97.02381,0.9702381,273.880952,0.273880952,70.637849,0.004989706,100,1,456.166667,0.456166667,112.724792,0.012706879
134,,0,,0,,0,,0,,0,,0
135,91.071429,0.91071429,266.626016,0.266626016,179.516171,0.032226056,88.888889,0.88888889,355.2,0.3552,61.425293,0.003773067
136,92.857143,0.92857143,236.918699,0.236918699,75.473868,0.005696305,98.412698,0.98412698,485.833333,0.485833333,158.683122,0.025180333
137,85.714286,0.85714286,427.428571,0.427428571,141.768859,0.020098409,30.15873,0.3015873,393.916667,0.393916667,224.240722,0.050283901
138,91.071429,0.91071429,289.658333,0.289658333,253.125986,0.064072765,98.412698,0.98412698,503.833333,0.503833333,174.859857,0.03057597
139,98.214286,0.98214286,303.873016,0.303873016,88.481138,0.007828912,100,1,584,0.584,246.259287,0.060643636
140,97.02381,0.9702381,255.952381,0.255952381,110.939108,0.012307486,95.238095,0.95238095,644.545455,0.644545455,688.670656,0.474267272
141,,0,,0,,0,,0,,0,,0
142,89.285714,0.89285714,242.638655,0.242638655,118.297222,0.013994233,84.126984,0.84126984,645.888889,0.645888889,193.60039,0.037481111
143,98.214286,0.98214286,273.126984,0.273126984,82.219218,0.00676,96.825397,0.96825397,540.1,0.5401,112.698664,0.012700989
144,,0,,0,,0,,0,,0,,0
145,,0,,0,,0,,0,,0,,0
146,91.666667,0.91666667,208.396694,0.208396694,144.874744,0.020988691,100,1,558.666667,0.558666667,284.308838,0.080831515
147,92.261905,0.92261905,335.454545,0.335454545,303.981907,0.092405,100,1,461.666667,0.461666667,104.519101,0.010924242
148,,0,,0,,0,,0,,0,,0
149,96.428571,0.96428571,253.809524,0.253809524,76.420282,0.00584006,100,1,528.083333,0.528083333,102.813563,0.010570629
150,93.452381,0.93452381,209.436508,0.209436508,131.234965,0.017222616,98.412698,0.98412698,434.083333,0.434083333,101.443633,0.010290811
151,97.02381,0.9702381,282.56,0.28256,85.244279,0.007266587,100,1,439.416667,0.439416667,71.912141,0.005171356
152,94.642857,0.94642857,399.330645,0.399330645,214.230812,0.045894841,93.650794,0.93650794,509.818182,0.509818182,169.426573,0.028705364
153,,0,,0,,0,,0,,0,,0
154,97.619048,0.97619048,283.416,0.283416,85.089155,0.007240164,100,1,416.75,0.41675,97.73631,0.009552386
155,94.642857,0.94642857,281.274194,0.281274194,105.948011,0.011224981,96.825397,0.96825397,596,0.596,141.497189,0.020021454
156,91.071429,0.91071429,358.820513,0.358820513,132.734413,0.017618424,52.380952,0.52380952,612,0.612,191.407568,0.036636857
157,98.214286,0.98214286,267.968,0.267968,77.302604,0.005975693,96.825397,0.96825397,408.083333,0.408083333,79.464639,0.006314629
158,97.02381,0.9702381,278.528,0.278528,79.070668,0.006252171,79.365079,0.79365079,836.857143,0.836857143,477.04592,0.22757281
159,,0,,0,,0,,0,,0,,0
160,98.214286,0.98214286,284.65873,0.28465873,58.306934,0.003399699,87.301587,0.87301587,547.1,0.5471,183.623074,0.033717433
161,99.404762,0.99404762,288.865079,0.288865079,44.902446,0.00201623,98.412698,0.98412698,380.833333,0.380833333,86.291086,0.007446152
162,95.238095,0.95238095,252.104839,0.252104839,92.655303,0.008585005,100,1,630.166667,0.630166667,126.787462,0.016075061
163,97.619048,0.97619048,270.944444,0.270944444,76.340952,0.005827941,95.238095,0.95238095,456.545455,0.456545455,79.316283,0.006291073
164,98.214286,0.98214286,291.136,0.291136,49.406697,0.002441022,98.412698,0.98412698,430.166667,0.430166667,128.717332,0.016568152
165,,0,,0,,0,,0,,0,,0
166,84.52381,0.8452381,276.345455,0.276345455,254.701712,0.064872962,93.650794,0.93650794,540,0.54,177.820134,0.03162
167,94.642857,0.94642857,282.295082,0.282295082,85.403823,0.007293813,96.825397,0.96825397,688.363636,0.688363636,136.822712,0.018720455
168,,0,,0,,0,,0,,0,,0
169,93.452381,0.93452381,294.370968,0.294370968,171.288017,0.029339585,82.539683,0.82539683,564.181818,0.564181818,242.433421,0.058773964
170,,0,,0,,0,,0,,0,,0
171,100,1,390.81746,0.39081746,83.390973,0.006954054,98.412698,0.98412698,562.25,0.56225,134.922284,0.018204023
172,94.047619,0.94047619,239.710744,0.239710744,167.84355,0.028171457,100,1,445.25,0.44525,134.943844,0.018209841
173,,0,,0,,0,,0,,0,,0
174,,0,,0,,0,,0,,0,,0
175,98.809524,0.98809524,286.555556,0.286555556,59.454797,0.003534873,96.825397,0.96825397,359.583333,0.359583333,56.636735,0.00320772
176,98.214286,0.98214286,248.960317,0.248960317,62.518912,0.003908614,98.412698,0.98412698,456.5,0.4565,36.081977,0.001301909
177,,0,,0,,0,,0,,0,,0
178,97.02381,0.9702381,279.304,0.279304,81.372226,0.006621439,80.952381,0.80952381,331.875,0.331875,49.168624,0.002417554
179,96.428571,0.96428571,314.390244,0.314390244,160.118534,0.025637945,95.238095,0.95238095,533.636364,0.533636364,183.535976,0.033685454
180,99.404762,0.99404762,291.587302,0.291587302,87.053204,0.00757826,31.746032,0.31746032,578.181818,0.578181818,169.812731,0.028836364
181,,0,,0,,0,,0,,0,,0
182,,0,,0,,0,,0,,0,,0
183,98.809524,0.98809524,282.865079,0.282865079,66.2914,0.00439455,96.825397,0.96825397,540.3,0.5403,251.120622,0.063061567
184,,0,,0,,0,,0,,0,,0
185,94.642857,0.94642857,402.483607,0.402483607,292.577608,0.085601657,90.47619,0.9047619,693.555556,0.693555556,248.352125,0.061678778
186,91.071429,0.91071429,297.905172,0.297905172,189.024129,0.035730121,92.063492,0.92063492,605,0.605,229.346899,0.0526
187,,0,,0,,0,,0,,0,,0
188,100,1,320.150794,0.320150794,73.124449,0.005347185,98.412698,0.98412698,341.833333,0.341833333,94.087806,0.008852515
189,97.619048,0.97619048,324.56,0.32456,71.510252,0.005113716,98.412698,0.98412698,452.5,0.4525,63.693156,0.004056818
190,,0,,0,,0,,0,,0,,0
191,99.404762,0.99404762,286.111111,0.286111111,41.727731,0.001741204,96.825397,0.96825397,466.416667,0.466416667,99.757395,0.009951538
192,,0,,0,,0,,0,,0,,0
193,99.404762,0.99404762,306.904762,0.306904762,52.066485,0.002710919,93.650794,0.93650794,413.545455,0.413545455,99.247533,0.009850073
194,97.619048,0.97619048,275,0.275,104.421356,0.01090382,95.238095,0.95238095,467.6,0.4676,128.146791,0.0164216
195,95.833333,0.95833333,260.854839,0.260854839,87.872755,0.007721621,23.809524,0.23809524,380.75,0.38075,166.965497,0.027877477
196,95.238095,0.95238095,274.777778,0.274777778,64.128981,0.004112526,93.650794,0.93650794,425.166667,0.425166667,83.532066,0.006977606
197,,0,,0,,0,,0,,0,,0
198,97.619048,0.97619048,278.52381,0.27852381,96.818652,0.009373851,96.825397,0.96825397,642.25,0.64225,315.907675,0.099797659
199,99.404762,0.99404762,306.746032,0.306746032,72.551547,0.005263727,95.238095,0.95238095,531.818182,0.531818182,158.607577,0.025156363
200,94.642857,0.94642857,302.346774,0.302346774,200.836383,0.040335253,98.412698,0.98412698,525,0.525,193.876765,0.0375882
201,95.238095,0.95238095,288,0.288,120.716441,0.014572459,100,1,473.25,0.47325,88.216804,0.007782205
202,91.666667,0.91666667,256.092437,0.256092437,99.188401,0.009838339,93.650794,0.93650794,439.181818,0.439181818,120.640638,0.014554164
203,97.02381,0.9702381,334.620968,0.334620968,134.592102,0.018115034,95.238095,0.95238095,642.090909,0.642090909,303.542569,0.092138091
204,98.809524,0.98809524,352.325397,0.352325397,145.07757,0.021047501,98.412698,0.98412698,533.25,0.53325,151.552646,0.022968205
205,99.404762,0.99404762,308.253968,0.308253968,47.160651,0.002224127,98.412698,0.98412698,453.25,0.45325,87.591121,0.007672204
206,95.238095,0.95238095,239.36,0.23936,91.040083,0.008288297,98.412698,0.98412698,467.166667,0.467166667,161.897742,0.026210879
207,95.238095,0.95238095,264.166667,0.264166667,91.948051,0.008454444,95.238095,0.95238095,411.555556,0.411555556,144.118971,0.020770278
208,96.428571,0.96428571,288.387097,0.288387097,92.809685,0.008613638,100,1,495.833333,0.495833333,122.80497,0.015081061
209,97.02381,0.9702381,304.008,0.304008,92.942186,0.00863825,98.412698,0.98412698,446.333333,0.446333333,74.606036,0.005566061
210,94.047619,0.94047619,255.552,0.255552,96.386358,0.00929033,44.444444,0.44444444,581.363636,0.581363636,153.775338,0.023646855
211,98.214286,0.98214286,258.456,0.258456,53.41854,0.00285354,95.238095,0.95238095,421.5,0.4215,88.268844,0.007791389
212,97.02381,0.9702381,282.373016,0.282373016,62.394837,0.003893116,,0,,0,,0
213,98.809524,0.98809524,311.396825,0.311396825,49.470651,0.002447345,98.412698,0.98412698,421.333333,0.421333333,58.297565,0.003398606
214,98.809524,0.98809524,275.047619,0.275047619,36.277344,0.001316046,100,1,383.416667,0.383416667,97.37879,0.009482629
215,96.428571,0.96428571,264.706349,0.264706349,84.278877,0.007102929,100,1,531.75,0.53175,137.093283,0.018794568
216,97.02381,0.9702381,250.224,0.250224,63.606637,0.004045804,74.603175,0.74603175,595.5,0.5955,362.416887,0.131346
217,94.642857,0.94642857,248.32,0.24832,87.29784,0.007620913,100,1,434.25,0.43425,61.92389,0.003834568
218,96.428571,0.96428571,276.793651,0.276793651,132.418145,0.017534565,96.825397,0.96825397,368.916667,0.368916667,106.816289,0.01140972
219,94.642857,0.94642857,368.162602,0.368162602,259.021595,0.067092187,98.412698,0.98412698,331.333333,0.331333333,69.308708,0.004803697
220,94.642857,0.94642857,210.669355,0.210669355,198.220282,0.03929128,96.825397,0.96825397,431.636364,0.431636364,129.202378,0.016693254
221,98.214286,0.98214286,306.269841,0.306269841,88.251768,0.007788375,95.238095,0.95238095,423.333333,0.423333333,135.13181,0.018260606
222,97.02381,0.9702381,280.824,0.280824,127.460941,0.016246291,98.412698,0.98412698,495.181818,0.495181818,233.479257,0.054512563
223,94.047619,0.94047619,321.760331,0.321760331,259.846334,0.067520117,96.825397,0.96825397,677.916667,0.677916667,395.502548,0.156422265
224,98.214286,0.98214286,291.76,0.29176,52.256563,0.002730748,100,1,360.833333,0.360833333,53.505876,0.002862879
225,92.261905,0.92261905,380.294118,0.380294118,245.249902,0.060147514,95.238095,0.95238095,618.583333,0.618583333,164.74082,0.027139538
226,94.642857,0.94642857,337.040323,0.337040323,153.622301,0.023599811,98.412698,0.98412698,494.75,0.49475,150.989539,0.022797841
227,97.02381,0.9702381,253.512,0.253512,122.418282,0.014986236,88.888889,0.88888889,395.777778,0.395777778,122.018214,0.014888445
228,98.214286,0.98214286,278.539683,0.278539683,56.993144,0.003248218,100,1,409.416667,0.409416667,76.927898,0.005917901
229,,0,,0,,0,,0,,0,,0
230,99.404762,0.99404762,299.087302,0.299087302,66.741534,0.004454432,100,1,525.166667,0.525166667,284.990537,0.081219606
231,91.666667,0.91666667,260.225806,0.260225806,121.495748,0.014761217,92.063492,0.92063492,614.2,0.6142,296.326697,0.087809511
232,96.428571,0.96428571,290.096774,0.290096774,67.560562,0.00456443,93.650794,0.93650794,565.6,0.5656,278.353173,0.077480489
233,94.047619,0.94047619,337.959016,0.337959016,165.436283,0.027369164,95.238095,0.95238095,453.181818,0.453181818,172.43075,0.029732364
234,98.214286,0.98214286,315.142857,0.315142857,82.907149,0.006873595,96.825397,0.96825397,346.583333,0.346583333,66.722571,0.004451901
235,98.809524,0.98809524,343.68254,0.34368254,111.827199,0.012505322,100,1,507.5,0.5075,106.502667,0.011342818
236,,0,,0,,0,,0,,0,,0
237,96.428571,0.96428571,265.36,0.26536,143.612348,0.020624506,98.412698,0.98412698,498.909091,0.498909091,75.249524,0.005662491
238,94.642857,0.94642857,247.693548,0.247693548,163.553784,0.02674984,98.412698,0.98412698,430,0.43,23.954123,0.0005738
239,95.833333,0.95833333,252.08,0.25208,52.733597,0.002780832,100,1,320.833333,0.320833333,34.873364,0.001216152
240,98.214286,0.98214286,261.492063,0.261492063,113.394585,0.012858332,95.238095,0.95238095,475.916667,0.475916667,116.500845,0.013572447
241,91.666667,0.91666667,220.422764,0.220422764,113.146141,0.012802049,98.412698,0.98412698,659.083333,0.659083333,320.609209,0.102790265
242,98.809524,0.98809524,352.031746,0.352031746,88.079958,0.007758079,96.825397,0.96825397,492.363636,0.492363636,72.87561,0.005310855
243,,0,,0,,0,,0,,0,,0
244,96.428571,0.96428571,270.253968,0.270253968,83.745322,0.007013279,88.888889,0.88888889,704.555556,0.704555556,252.173111,0.063591278
245,98.214286,0.98214286,293.055556,0.293055556,65.115443,0.004240021,100,1,681.166667,0.681166667,233.185776,0.054375606
246,,0,,0,,0,,0,,0,,0
247,93.452381,0.93452381,245.645161,0.245645161,131.651189,0.017332036,96.825397,0.96825397,761.636364,0.761636364,421.271711,0.177469854
248,97.619048,0.97619048,265.277778,0.265277778,66.502047,0.004422522,98.412698,0.98412698,397.083333,0.397083333,99.750104,0.009950083
249,,0,,0,,0,,0,,0,,0
250,97.02381,0.9702381,270.563492,0.270563492,66.752857,0.004455944,100,1,363.916667,0.363916667,96.793556,0.009368992
